Altitude(m),Precipitation(mm),Average Temperature (¡«C),Lowest Temperature (¡«C),Highest Temperature (¡«C),pH,TN(g©{kg-1),SOC(%),depth(cm),mineral_N quantity(kg/y/hm2),organic_N quantity(kg/y/hm2),optimized_n2o,original_n2o,reduction,reduction_percent,Altitude(m)_change_percent,Precipitation(mm)_change_percent,Average Temperature (¡«C)_change_percent,Lowest Temperature (¡«C)_change_percent,Highest Temperature (¡«C)_change_percent,pH_change_percent,TN(g©{kg-1)_change_percent,SOC(%)_change_percent,depth(cm)_change_percent,mineral_N quantity(kg/y/hm2)_change_percent,organic_N quantity(kg/y/hm2)_change_percent
101.78238436419898,1894.3035616888667,19.14,0.48600000000000004,32.84436021539744,3.976983240990857,0.639,0.8523,11.0,132.0,108.33479463946897,4.6880000710454475,5.86,1.1719999289545528,19.999998787620356,-3.064395843617105,9.751075416503879,9.999999999942542,-9.999999998148146,3.1543976614142046,-4.399441322229411,-9.999999998591543,-9.999999998944036,9.9999999999,9.999999999991667,3.1759948947293246
94.5,1615.4499490691726,19.25,0.902,37.092,4.3170044894046935,0.8140000000000001,0.949157585563838,9.0,310.5,95.55805293249801,6.776002810086619,8.47,1.6939971899133814,19.999966823062355,-9.999999999990477,6.630359674532406,9.999999999942858,9.999999998780497,9.999999999970344,3.774146379829789,9.999999998648658,-1.641700977670494,-9.9999999999,-9.999999999997101,-8.992330540469517
115.50000000000001,1506.8123157074563,19.03,1.1880000000000002,31.736557303196843,3.95138682155406,0.8437497182014845,0.9365028539020099,9.0,310.5,102.26040753758703,7.13600274115454,8.92,1.78399725884546,19.999969269567938,9.99999999999049,5.150894327107544,9.9999999999422,9.999999999074083,0.21015883548036385,-5.014739866368394,9.577885479468385,-4.633110600138181,-9.9999999999,-9.999999999997101,-2.6091356784860595
16.5,1736.9,19.03,5.22,32.56,3.087,1.853215853992304,1.917,22.0,540.0,0.0,9.424000118311074,11.78,2.355999881688925,19.999998995661507,9.999999999933333,9.999999999999371,9.9999999999422,-9.999999999827587,9.999999999966219,-9.999999999708454,-7.339207300017837,-9.99999999953051,9.99999999995,-9.999999999998332,0.0
116.60000000000001,1119.8000000000002,18.480000000000004,0.14400000000000002,7.2540000000000004,4.608808203715843,3.2080814377850215,1.9260000000000002,0.0,0.0,0.0,4.104007708238338,5.13,1.0259922917616615,19.99984974194272,9.999999999990573,9.999999999999035,9.999999999940497,-9.99999999374999,-9.99999999987593,2.4179600825205587,0.2525449307740252,-9.999999999532708,0.0,0.0,0.0
15.0,1579.0,17.3,5.8,29.6,3.89,1.5,1.71,20.0,300.0,0.0,4.28,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,1473.0,17.6,2.4,29.33,4.13,0.69,0.918,10.0,345.0,105.0,5.74,5.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440.0,914.0,14.2,-2.63,28.81,5.0,1.51,1.36,0.0,0.0,0.0,1.82,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.1695176938454,1451.1043483977812,18.094220852300268,0.9720000000000001,34.837,3.7718240304794395,0.639,1.0417,10.80617319233394,108.0,94.5,4.5360048016353165,5.67,1.1339951983646834,19.999915315073782,9.685254946510211,-6.223061367598077,4.590871978587723,-9.999999999074072,9.99999999996843,-9.331153113250709,-9.999999998591543,9.999999998944046,8.061731923258785,-9.999999999991667,-9.999999999990477
105.0,1838.0,17.7,1.08,31.94,4.16,0.71,0.947,10.0,345.0,105.0,15.4,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.4,1568.6000000000001,28.6,6.219,36.025000000000006,4.365,0.33,3.321,4.5,405.0,0.0,3.8662833556749536,4.5,0.6337166443250464,14.082592096112142,-9.999999999978264,9.999999999999307,9.999999999961545,-9.99999999985528,9.999999999969482,-9.999999999793802,9.999999996666675,-9.99999999972899,-9.9999999998,-9.99999999999778,0.0
38.0,1711.0,17.5,5.6,45.69,4.72,1.42,1.73,10.0,300.0,0.0,32.6,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,1515.0,17.5,2.18,29.08,4.16,0.74,0.965,10.0,345.0,105.0,5.83,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,1515.0,17.5,0.68,30.44,4.16,0.74,0.965,20.0,345.0,105.0,6.96,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485.1,855.3007752861442,13.41,-3.4540000000000006,24.874168899590792,5.399412578751195,1.35,1.362373506162163,10.830780483173816,495.00000000000006,0.0,16.884836510502915,21.1,4.215163489497087,19.977078149275293,9.999999999997739,6.380693443549486,-9.999999999932887,-10.000000000318487,-9.41671922942386,7.988251574864141,-9.999999999333326,0.17452251191090337,8.307804831655085,9.999999999997792,0.0
101.0,1718.0,17.5,3.54,33.75,4.21,0.4,0.884,0.0,0.0,0.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
